# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Nov 15 18:11:40 2018
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage]
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage]
# COLUMN plntransdeplim: Transit Depth Limit Flag
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN plnradjlim:     Planet Radius Limit Flag
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD]
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD]
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
rowid,plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument
1,WASP-12 b,0.33500,0.09000,,,,,,,,,0.12135,0.00087,-0.00087,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
2,WASP-12 b,0.40500,0.05000,,,,,,,,,0.12000,0.00025,-0.00025,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
3,WASP-12 b,0.50200,0.04400,,,,,,,,,0.12022,0.00031,-0.00031,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
4,WASP-12 b,0.54700,0.04600,,,,,,,,,0.12067,0.00035,-0.00035,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
5,WASP-12 b,0.55500,0.05000,,,,,,,,,0.11973,0.00057,-0.00057,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
6,WASP-12 b,0.60500,0.05000,,,,,,,,,0.12012,0.00059,-0.00059,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
7,WASP-12 b,0.65500,0.05000,,,,,,,,,0.12033,0.00051,-0.00051,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
8,WASP-12 b,0.70500,0.05000,,,,,,,,,0.11925,0.00076,-0.00076,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
9,WASP-12 b,0.76000,0.06000,,,,,,,,,0.11951,0.00051,-0.00051,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
10,WASP-12 b,0.82000,0.06000,,,,,,,,,0.11947,0.00078,-0.00078,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
11,WASP-12 b,0.94000,0.18000,,,,,,,,,0.11967,0.00082,-0.00082,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
12,WASP-12 b,1.16300,0.05200,,,,,,,,,0.11975,0.00051,-0.00051,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
